timestamp,song_name,artist,valence,energy,hour
06-11-2025 21:13,I Wanna Be Yours,Arctic Monkeys,0.48,0.42,21
06-11-2025 21:18,NO,Meghan Trainor,0.66,0.8,21
06-11-2025 21:24,Attention,Charlie Puth,0.8,0.61,21
06-11-2025 21:29,Harleys In Hawaii,Katy Perry,0.72,0.76,21
06-11-2025 21:36,Fantastic Baby,BIGBANG,0.58,0.84,21
06-11-2025 21:41,CHIHIRO,Billie Eilish,0.52,0.43,21
06-11-2025 21:46,Harleys In Hawaii,Katy Perry,0.72,0.76,21
07-11-2025 01:54,pov,Ariana Grande,0.17,0.53,1
07-11-2025 13:22,Paper Hearts,Tori Kelly,0.24,0.23,13
07-11-2025 13:27,i wish i hated you,Ariana Grande,0.28,0.24,13
07-11-2025 13:33,Harleys In Hawaii,Katy Perry,0.72,0.76,13
07-11-2025 13:39,Wildest Dreams,Taylor Swift,0.47,0.67,13
07-11-2025 13:44,Shy (eh o),PENOMECO,0.91,0.66,13
07-11-2025 17:42,Wait On Me,KAI,0.36,0.87,17
07-11-2025 17:46,NO,Meghan Trainor,0.66,0.8,17
07-11-2025 17:51,Shy (eh o),PENOMECO,0.91,0.66,17
07-11-2025 17:57,Attention,NewJeans,0.7,0.65,17
07-11-2025 18:04,DAISIES,Justin Bieber,0.48,0.38,18
07-11-2025 21:15,Enduko Emo,Alaap Raju,0.7,0.63,21
07-11-2025 21:19,Still With You,Jung Kook,0.34,0.47,21
07-11-2025 21:26,luther (with sza),Kendrick Lamar,0.58,0.57,21
08-11-2025 00:35,Serendipity,BTS,0.23,0.58,0
08-11-2025 13:15,Replay,SHINee,0.59,0.78,13
08-11-2025 13:19,Humsafar,Sachet-Parampara,0.53,0.77,13
08-11-2025 13:25,Chemtrails Over The Country Club,Lana Del Rey,0.43,0.28,13
08-11-2025 13:32,Mantra,JENNIE,0.84,0.73,13
08-11-2025 17:47,Like Jennie,Jennie,0.82,0.74,17
08-11-2025 20:32,Friends,Chase Atlantic,0.08,0.61,20
08-11-2025 20:35,Style,Taylor Swift,0.46,0.79,20
08-11-2025 21:51,Arson,J-Hope,0.27,0.8,21
08-11-2025 21:58,I Like It,Cardi B,0.65,0.73,21
08-11-2025 22:03,supenatural,Ariana Grande,0.52,0.71,22
08-11-2025 23:52,São Paulo,The Weekend,0.55,0.66,23
08-11-2025 23:56,august,Taylor Swift,0.4,0.62,23
09-11-2025 00:00,Still With You,Jung Kook,0.34,0.47,0
09-11-2025 01:16,ONLY,LeeHi,0.15,0.3,1
09-11-2025 01:20,i wish i hated you,Ariana Grande,0.28,0.24,1
10-11-2025 12:09,Love wins all,IU,0.32,0.45,12
10-11-2025 12:13,Swim,Chase Atlantic,0.08,0.54,12
10-11-2025 14:39,I Like It,Cardi B,0.65,0.73,14
10-11-2025 14:45,Mantra,JENNIE,0.84,0.73,14
10-11-2025 14:50,Serendipity,BTS,0.23,0.58,14
10-11-2025 14:55,Hurts So Good,Astrid S,0.38,0.61,14
10-11-2025 15:00,CHIHIRO,Billie Eilish,0.52,0.43,15
10-11-2025 15:05,Harleys In Hawaii,Katy Perry,0.72,0.76,15
10-11-2025 15:12,supenatural,Ariana Grande,0.52,0.71,15
10-11-2025 15:16,Like Jennie,Jennie,0.82,0.74,15
10-11-2025 15:20,São Paulo,The Weekend,0.55,0.66,15
10-11-2025 23:46,Shy (eh o),PENOMECO,0.91,0.66,23
11-11-2025 01:51,Love wins all,IU,0.32,0.45,1
12-11-2025 13:48,Promise,Jimin,0.74,0.18,13
12-11-2025 13:53,Woman,Doja Cat,0.88,0.76,13
12-11-2025 13:56,august,Taylor Swift,0.4,0.62,13
12-11-2025 14:01,All The Stars,Kendrick Lamar,0.55,0.63,14
12-11-2025 16:05,lovely (with Khalid),Billie Eilish,0.12,0.3,16
12-11-2025 16:09,Fantastic Baby,BIGBANG,0.58,0.84,16
12-11-2025 18:07,supenatural,Ariana Grande,0.52,0.71,18
12-11-2025 21:29,Shy (eh o),PENOMECO,0.91,0.66,21
13-11-2025 00:51,Still With You,Jung Kook,0.34,0.47,0
13-11-2025 00:55,Love wins all,IU,0.32,0.45,0
13-11-2025 00:59,Moonlight,Chase Atlantic,0.14,0.58,0
13-11-2025 01:03,Paper Hearts,Tori Kelly,0.24,0.23,1
13-11-2025 12:47,I Like It,Cardi B,0.65,0.73,12
13-11-2025 13:57,I Like It,Cardi B,0.65,0.73,13
13-11-2025 14:03,CHIHIRO,Billie Eilish,0.52,0.43,14
13-11-2025 16:15,Harleys In Hawaii,Katy Perry,0.72,0.76,16
